Question,Answer
"Oil and fat containing food items are flushed with nitrogen. Why ?
","To keep food items fresh and save from getting oxidised, food items are flushed with nitrogen.

"
"Explain the following terms with one example each (a) Corrosion, (b) Rancidity.","(a) Corrosion : It is the process in which metals are eaten up gradually by the action of air, moisture or a chemical (such as an acid) on their surface.
Example : When iron is exposed to moist air for a long period of time, its surface acquires a coating of a brown, flaky substance called rust. Rust is mainly hydrated iron (III) oxide [Fe2O3.xH20].                                                                                              4Fe + 3O2 + 2x H20 = 2Fe2O3.xH2O                                                       (b) Rancidity : The condition produced by aerial oxidation of fats and oils in foods marked by unpleasant smell and taste is called rancidity.
Rancidity spoils the food materials prepared in fats and oils which have been kept for a considerable time and makes them unfit for eating.
Rancidity can be prevented by adding anti-oxidants to foods containing fats and oils. It can also be prevented by flushing fat and oil containing foods with nitrogen before sealing."
"“We need to balance a skeltal chemical equation.” Give reason to justify the statement.
",Skeltal chemical equation are unbalanced. We need to balance chemical equation because of law of conservation of mass. It states that ‘matter can neither be created nor be destroyed’. Therefore chemical equation must be balanced in each and every chemical reaction.
"Name the reducing agent in the following reaction:
3MnO2 + 4Al———— > 3Mn + 2Al2O3
State which is more reactive, Mn or A1 and why?","Al’ is reducing agent.
‘AT is more reactive than Mn v ‘Al’ displaces Mn from its oxide."
When do desert plants take up carbon dioxide and perform photosynthesis?,In desert plants the stomata are open at night. They take CO2 at night and is stored in the form of acid and is used during day time for photosynthesis.
"Write the chemical equation of the reaction in which the following changes have taken place with an example of each: 
(i) Change in colour
(ii) Change in temperature
(iii) Formation of precipitate","(i)Cu (s) + 2AgNO3 (aq)———–> Cu(NO3)2(aq) + 2Ag
The solution will become blue in colour and shiny silver metal will be deposited.
(ii) NaOH + HCl ———–> NaCl +  H2O+ heat
The temperature will increase because heat will be evolved.
(iii) Pb(NO3)2 (aq) + 2KI (aq)———–> Pbl2 (s) + 2KNO3 (aq)
Yellow ppt
Yellow precipitate of Pbl2will be formed."
"State the type of chemical reactions and chemical equations that take place in the following:
(i) Magnesium wire is burnt in air.
(ii) Electric current is passed through water.
(iii) Ammonia and hydrogen chloride gases’are mixed.",1) 2Mg + O2 = 2MgO (Combination Reaction)                                    2)2H2O = 2H2 + O2   (Decomposition Reaction)                              3)NH3 + HCl = NH4Cl  (Combination Reaction)                                      
"(a) Write the essential condition for the following reaction to take place:
2AgBr—-> 2Ag + Br2
Write one application of this reaction.
(b) Complete the following chemical equation of a chemical reaction                 2FeS04 —> Fe2O3 + ..... + .....
(c) What happens when water is added to quick line. Write chemical equation.
","a) It should be in presence of sunlight. This reaction is used in photography.
B) 2FeS04 —> Fe2O3 + SO2 + SO3                                                        (c) Slaked lime is formed with hissing sound and lot of heat is envolved.

"
"10. 2g of ferrous sulphate crystals are heated in a dry boiling tube.
(i) List any two observations.
(ii) Name the type of chemical reaction taking place.
(iii) ‘Write the chemical equation for the reaction.","(i) •Green colour of Fe SO4 disappears and reddish brown solid is formed.
• Smell of burning sulphur.
(ii) Decomposition reaction                                                                    (iii) 2FeS04 —> Fe2O3 + SO2 + SO3   "
"(a) Define a balanced chemical equation. Why should an equation be balanced?
(b) Write the balanced chemical equation for the following reaction:
(i) Phosphorus burns in presence of chlorine to form phosphorus penta chloride.
(ii) Burning of natural gas.
(iii) The process of respiration.","(a) Balanced chemical equation has an equal number of atoms of different elements in the reactants and products. According to law of conservation of mass, matter can neither be created nor be destroyed in a chemical reaction.
(b)(i) P4 (s) + 10Cl2 (g) ———> 4PCl5 (S)
(i)CH4 (g) + 2O2 (g) ———> CO2 (g) + 2H2O(l) + heat energy
(iii) C6H12O6 (s) + 6O2 (g) + 6H2O ———> 6CO2 (aq) + 12H2O (l) + energy"
"(a) Explain two ways by which food industries prevent rancidity.
(b) Discuss the importance of decomposition reaction in metal industry with three points.","a) (i) Rancidity can be prevented by adding antioxidants to food containing
fat and oil, e.g. butylated hydroxy anisole is added to butter as antioxidant.                                                                                               (ii) It can be prevented by packaging fat and oil containing foods in nitrogen gas.
(b) (i) Molten NaCl is electrolytically decomposed to form sodium metal.
(ii) Aluminium metal is obtained by electric decomposition of bauxite ore mixed with cryolite.
(iii) Carbonate ores are thermally decomposed to give metal oxide which on reduction give metal."
What is observed when a solution of potassium iodide solution is added to a solution of lead nitrate? Name the type of reaction. Write a balanced chemical equation to represent the above chemical reaction.,".Yellow precipitate of lead iodide is formed. It is precipitation reaction.
Pb( NO3)2 (aq) + 2KI (aq) —-> Pbl2 (s) + 2KNO3 (aq)
It is also called double displacement reaction."
"You have been provided with three test tubes. One of them contains distilled water and the other two contain an acidic solution and a basic solution, respectively. If you are given only red litmus paper, how will you identify the contents of each test tube ?","(i) Put the red litmus paper in all the test tubes, turn by turn. The solution which turns red litmus to blue will be a basic solution. The blue litmus paper formed here can now be used to test the acidic solution.
(ii) Put the blue litmus paper obtained above in the remaining two test-tubes, turn-by-turn. The solution which turns the blue litmus paper to red will be the acidic solution.
(iii) The solution which has no effect on any litmus paper will be neutral and hence it will be distilled water."
"Why should curd and sour substances not be kept in brass and copper vessels ?
","Curd and sour substances should not be kept in brass and copper vessels because these and other sour food-stuffs contain acids which can react with the metal of the vessel to form poisonous metal compounds which can cause food poisoning and affect our health adversely.

"
"Which gas is usually liberated when an acid reacts with a metal ? Illustrate with an example. How will you test for the presence of this gas ?
Which gas is usually liberated when an acid reacts with a metal ? Illustrate with an example. How will you test for the presence of this gas ?
","(i) Hydrogen (H2) gas is liberated when an acid reacts with a metal.
(ii) Illustration : Set up the apparatus as shown in the given figure. Take some zinc granules in the test tube. Add about 5 mL dilute hydrochloric acid slowly. Soon the reaction between zinc and hydrochloric acid starts and hydrogen gas is evolved                                                                                                        (iii) Test for H2 gas :
H2 gas is not soluble in water. When passed through soap solution, it gets trapped into bubbles.
Bring a burning candle near the soap bubble filled with gas. The soap bubble bursts and hydrogen gas burns with a pop sound."
"Metal compound A reacts with dilute hydrochloric acid to produce effervescence. The gas evolved extinguishes a burning candle. Write a balanced chemical equation for the reaction if one of the compounds formed is calcium chloride.
","As the end product is calcium chloride and the gas formed is carbon dioxide, the metal compound A must be calcium carbonate. Therefore, the reaction between calcium carbonate and hydrochloric acid is                   CaCO3(s)  + 2HCl(aq) --> CaCl2(aq) + CO2(g) + H2O"
"Why do HCl, HNO3, etc show acidic characters in aqueous solutions while solutions of compounds like alcohol and glucose do not show acidic character ?
","Why do HCl, HNO3, etc show acidic characters in aqueous solutions while solutions of compounds like alcohol and glucose do not show acidic character ?
"
"Why does an aqueous solution of an acid conduct electricity ?
","The aqueous solution of an acid conducts electricity due to the presence of charged particles called ions in it.

"
"Why does dry HCl gas not change the colour of the dry litmus paper ?
","Dry HCl gas does not give H+ ions and therefore does not change the colour of dry litmus paper.


"
"While diluting an acid, why is it recommended that the acid should be added to water and not water to the acid ?
","While diluting an acid it is recommended that the acid should be added to water and not water to the acid because if water is added to concentrated acid to dilute it, then a large amount of heat is evolved at once. This heat changes some of the water to steam explosively which can splash the acid on one’s face or clothes and cause acid burns.

"
"How is the concentration of hydronium ions (H3O+) affected when a solution of an acid is diluted ?
","When a given amount of an acid is added to water, there is a fixed number of hydronium ions per volume of the solution. On dilution, the number of hydronium ions per volume decreases and concentration decreases.

"
"How is the concentration of hydroxide ions (OH–) affected when excess base is dissolved in a solution of sodium hydroxide ?
","The concentration of hydroxide ions will increase when excess base is dissolved in a solution of sodium hydroxide, but it happens to a limited extent only after which the concentration becomes almost constant.

"
"You have two solutions A and B. The pH of solution A is 6 and pH of solution B is 8. Which solution has more hydrogen ion concentration? Which of this is acidic and which one is basic ?
","A pH value of less than 7 indicates an acidic solution, while greater than 7 indicates a basic solution. Since solution A has more hydrogen ion concentration, solution A is acidic and solution B is basic.

"
"What effect does the concentration of H+ (aq) ions have on the nature of the solution ?
","More the concentration of H+ ions, higher the acidic nature of the solution.

"
"Do basic solutions also have H+ (aq) ions ? If yes, then why are these basic ?
","Basic solutions have H+ (aq) ions. But these are far less in number than OH– ions that is responsible for their basic nature.

"
"Under what soil condition do you think a farmer would treat the soil of his fields with quick lime (calcium oxide) or slaked lime (calcium hydroxide) or chalk (calcium carbonate) ?
","If the soil is too acidic (having low pH) then it is treated with materials like quick lime (calcium oxide) or slaked lime (calcium hydroxide) or chalk (calcium carbonate).

"
"What is the common name of the compound CaOCl2 ?
","Bleaching powder.

"
"Name the substance which on treatment with chlorine yields bleaching powder.
","Slaked lime Ca (OH)2.

"
"Name the sodium compound which is used for softening hard water.
","Sodium carbonate.

"
"What will happen if a solution of sodium hydrogen carbonate is heated. Give the equation of the reaction involved ?
","Solution of sodium hydrogen carbonate on heating gives sodium carbonate and carbon dioxide gas is evolved.
2NaHCO3 --> NaCO3 + H2O + CO2"
"Write an equation to show the reaction between plaster of Paris and water.
",CaSO4.1/2H2O + 1(1/2)H2O ---> CaSO4 . 2H2O
"A solution turns red litmus blue, its pH is likely to be",More than 7
"A solution reacts with crushed-egg shells to give a gas that turns lime water milky. The solution contains
(a) NaCl
(b) HCl
(c) LiCl
(d) KCl",(b) HCl
"10 mL of a solution of NaOH is found to be completely neutralised by 8 mL of a given solution of HC1. If we take 20 mL of the same solution of NaOH, the amount of HC1 solution (the same solution as before) required to neutralise it will be
(a) 4 mL
(b) 8 mL
(c) 12 mL
(d) 16 mL","(d) 16 mL

"
"Which one of the following types of medicines is used for treating indigestion?
(a) Antibiotic
(b) Analgesic
(c) Antacid
(d) Antiseptic","(c) Antacid

"
"Write word equations and then balanced equations for the reaction taking place when
(a) dilute sulphuric acid reacts with zinc granules
(b) dilute hydrochloric acid reacts with magnesium ribbon
(c) dilute sulphuric acid reacts with aluminium powder
(d) dilute hydrochloric acid reacts with iron filing","(a) Zinc + dilute sulphuric acid ? Zinc sulphate + Hydrogen
Zn (s) + H2SO4 (aq) ? ZnSO4 (aq) + H2 (g)

(b) Magnesium ribbon + dil. Hydrochloric acid ? Magnesium chloride + Hydrogen
Mg (s) + 2 HCl (aq) ? MgCl2 (aq) + H2 (g)

(c) Aluminium powder + dil. Sulphuric acid > Aluminium sulphate + Hydrogen
2Al (s) + 3H2SO4 (aq) ? Al2 (SO4)3 (aq) + 3H2 (g)

(d) Iron filings + Dilute hydrochloric acid > Ferric chloride + Hydrogen
2Fe (s) + 6HCl (aq) ? 2FeCl3 (aq) + 3H2 (g)"
"Compounds such as alcohol and glucose also contain hydrogen but are not categorised as acids. Describe an activity to prove it.
","Though compounds like alcohol and glucose contain hydrogen but they do not ionise in the solution to produce H+ ions on passing current through them.
(i) Take solutions of alcohols and glucose.
(ii) Fix two nails on a cork, and place the cork in 100 mL beaker.
(iii) Connect the nails to the two terminals of a 6 volt battery through a bulb and a switch, as shown in the given Figure.     (iv) Now pour alcohol in the beaker and switch on the current.
(v) The bulb does not glow.
(vi) Repeat the experiment with glucose. The bulb does not glow in this case also.
(vii) This means no ions or H+ ions are present in the solution.
This shows that alcohols and glucose are not acids."
"Why does distilled water not conduct electricity, whereas rainwater does ?
","Distilled water does not conduct electricity because it does not contain any ionic compound (like acids, bases or salts) dissolved in it.
Rainwater, while falling to the earth through the atmosphere, dissolves an acidic gas carbon dioxide from the air and forms carbonic acid (H2CO3). Carbonic acid provides hydrogen ions, H+ (aq) and carbonate ions, CO(aq)32to rainwater. Hence, due to the presence of carbonic acid which provides ions to rainwater, the rainwater conducts electricity."
"Why do acids not show acidic behaviour in the absence of water ?
","The acidic behaviour of acids is due to the presence of hydrogen ions, [H+ (aq) ions], in them. The acid produces hydrogen ions only in the presence of water. So in the absence of water, an acid will not form hydrogen ions and hence will not show its acidic behaviour."
"Five solutions A, B, C, D and E when tested with universal indicator showed pH as 4, 1, 11, 7 and 9 respectively. Which solution is
(a) Neutral
(b) Strongly alkaline
(c) Strongly acidic
(d) Weakly acidic
(e) Weakly alkaline
Arrange the pH in increasing order of hydrogen ion concentration.","(a) D
(b) C
(c) B
(d) A
(e) E
Increasing order of hydrogen ion concentration
11 < 9 < 7 < 4 < 1
i. e., C < E < D < A < B"
"Equal lengths of magnesium ribbons are taken in test tubes A and B. Hydrochloric acid (HCl) is added to test tube A, while acetic acid (CH3COOH) is added to test tube B. In which test tube will the fizzing occur more vigorously and why ?
","Fizzing will occur more vigorously in test tube A. Hydrochloric acid (HCl) is a strong acid whereas acetic acid (CH3COOH) is a weak acid. Being strong acid, the hydrochloric acid solution contains a much greater amount of hydrogen ions in it due to which the fizzing will occur more vigorously in test tube A (containing hydrochloric acid). The fizzing is due to the evolution of hydrogen gas which is formed by the action of acid on the magnesium metal of magnesium ribbon.

"
"fresh milk has a pH of 6. How do you think the pH will change as it turns into curd ? Explain your answer.
","pH of milk falls below 6 as it turns into curd due to the formation of lactic acid during this process. Lactic acid present in it reduces its pH value.

"
"A milkman adds a very small amount of baking soda to fresh milk.
(a) Why does he shift the pH of the fresh milk from 6 to slightly alkaline ?
(b) Why does this milk take a long time to set as curd ?","(a) Milk is made slightly alkaline so that it may not get sour easily due to the formation of lactic acid in it.
(b) The alkaline milk takes a longer time to set into curd because the lactic acid being formed has to first neutralise the alkali present in it."
"Plaster of Paris should be stored in a moisture proof container. Explain why?
","Plaster of Paris should be stored in a moisture proof container because the presence of moisture can cause slow setting of plaster of Paris by bringing about its hydration. This will make the plaster of Paris useless after sometime.

"
"Give two important uses of washing soda and baking soda.
","Uses of washing soda :
(i) Washing soda is used in glass, soap and paper industries.
(ii) It is used for removing permanent hardness of water.

Uses of baking soda :
(i) Baking soda is used as an antacid in medicines to remove acidity of the stomach.
(ii) Baking soda is used for making baking powder (used in making cakes, bread, etc.)."
"Name the acid present in the following:
(i) Tomato (ii) Vinegar (iii) Tamarind","(i) Oxalic acid (ii) Acetic acid (iii) Tartaric acid

"
"15 mL of water and 10 mL of sulphuric acid are to be mixed in a beaker
(i) State the method that should be followed with reason.
(ii)What is this process called?","(i) The acid is to be added slowly in water to prevent the mixture to be splashed. The
reaction is highly exothermic, therefore, constant cooling should be done.
(ii)The process is called dilution."
"a) Define olfactory indicators. Name two subtances which can be used as olfactory indicator.
(b) Choose strong acids from the following:
CH3COOH, H2SO4, H2CO3, HNO3","(a) Those substances whose smell (odour) changes in acidic or basic solution are called olfactory indicators, e.g. onion and vanilla.
(b) H2SO4 and HNO3    are strong acids.

"
"A white coloured powder is used by doctors for supporting fractured bones.
(a) Write chemical name and formula of the powder.
(b) When this white powder is mixed with water a hard solid mass is obtained. Write balanced chemical equation for the change.",a) Calcium Sulphate Hemihydrate / Plaster Of Paris                   b) CaSO4 . 1/2 H2O                                                                                       c) CaSO4. 1/2H2O + 1(1/2)H2O = CaSO4.2H2O
"State reason for the following statements:
(i) Tap water conducts electricity whereas distilled water does not.
(ii) Dry hydrogen chloride gas does not turn blue litmus red whereas dilute hydrochloric acid does.                                                                      (iii) During summer season, a milk man usually adds a very small amount of baking soda to fresh milk.
(iv) For a dilution of acid, acid is added into water and not water into acid.
(v) Ammonia is a base but does not contain hydroxyl group.","(i) Tap water contains ions which conduct electricity, distilled water does not contain ions.
(ii)Dry HCl does not form ions but HCl gives H+ and Cl–.
(iii) Baking soda does not allow milk to change to lactic acid which makes milk sour.
(iv) Adding water to acid is highly exothermic. Therefore water is added to acid very slowly with cooling.                         (v) Ammonia dissolves in water and forms H– Therefore, it is basic in nature."
"(a) State the chemical properties on which the following uses of baking soda are based:
(i) as an antacid
(ii) as a soda acid fire extiguisher
(iii) to make bread and cake soft and spongy","(i) It is weakly basic in nature and naturalize hyperacidity.
(ii)It liberates CO2 with H2SO4, which extinguish fire.
(iii) It liberates CO2 on heating which makes bread and cake soft and sponge."
"Name the natural source of each of the following acid
(i) Citric acid. (ii)Oxalic acid.
(iii)Lactic acid. (iv)Tartaric acid.","(i) Lemon and orange.(ii)Tomatoes and Guava.
(iii)Sour milk (curd).(iv)Tamarind."
".A student detected the pH of four unknown solution A, B, C and D as follows 11, 5, 7 and 2. Predict the nature of the solution.",A is basic ‘B’ is acidic ‘C’ is natural and ‘D’ is strongly acidic.
"(i) Give the constituents of baking powder
(ii) Why cake or bread swells on adding baking powder? Write chemical equation.","(i) Baking powder containg sodium hydrogen carbonate and tartaric acid.
(ii)It is due to carbon dioxide                                                                 2NaHCO3 --> Na2CO3 + CO2 + H2O"
"Equal length of magnesium ribben are taken in two test tubes ‘A’ and ‘B\ H2SO4 is added to test tube ‘A’ and H2CO3 in the test tube ‘B’ in equal amounts:
(a) Identify the test tube showing vigorous reaction.
(b) Give reason to support your answer.
(c) Name the gas liberated in both the tubes. How will you prove its liberation?
(d) Write chemical equations for both reactions.
","a) A will show vigorous reaction.
(b) It is because H2SO4 is strong acid.
(c) Hydrogen gas will be formed. Bring a burning splinter near the gas. It will burn with ‘pop’ sound. It shows gas liberated is hydrogen.                                                                                                        d) Mg+H2SO4 --> MgSO4 + H2                                                                   Mg + H2CO3 --> MgCO3 + H2"
" How will you test for the gas which is liberated when hydrochloric acid reacts with an active metal?
",Bring a burning matchstick near the gas. It burns with ‘pop’ sound showing that it is hydrogen.
"(a) Write the name given to bases that are highly soluble in water. Give an example.
(b) How is tooth decay related to pH? How can it be prevented?                                               Why does bee sting cause pain and irritation? Rubbing of baking soda on the sting area gives relief. How?","(a) Alkali, e.g. NaOH (Sodium hydroxide).
(b) Lower the pH, more will be tooth decay. Acid reacts with Ca3(PO4)2 and cause tooth decay.
It can be prevented by brushing teeth after every meal.
(ic) It is due to formic acid. Sodium hydrogencarbonate (Baking soda) neutralises formic acid giving relie"
